bank,year,SB,JEB,NPL,ROA,CLR,AS,Total Assets ($M),AFCR,CPI,ED,IR,LMD,IRMT
Beijing,2012,0,0,0.0059,0.0113,0.2334,13.93,1119969,0.025,0.026,0.078,3.258,7.078,2.911518
Beijing,2013,0,0,0.0065,0.011,0.21,14.11,1336764,0.025,0.026,0.0777,3.347,5.874,5.621088
Beijing,2014,0,0,0.0086,0.0109,0.2,14.24,1524437,0.0278,0.02,0.0743,3.882,1.542,0.372331
Beijing,2015,0,0,0.0112,0.01,0.19,14.43,1844909,0.0311,0.014,0.0704,5.376,0.826,0.442608
Beijing,2016,0,0,0.0127,0.009,0.19,14.57,2116339,0.0325,0.02,0.0685,6.831,0.157,0.615456
Beijing,2017,0,0,0.0134,0.0085,0.18,14.66,2329805,0.033,0.016,0.0695,5.551,0.452,0.658488
Beijing,2018,0,0,0.0146,0.0082,0.18,14.76,2572865,0.0318,0.021,0.0675,4.528,1.018,1.32136
Beijing,2019,0,0,0.014,0.0081,0.18,14.82,2737040,0.0315,0.029,0.0595,4.612,1.321,1.932825
Beijing,2020,0,0,0.0127,0.0077,0.21,14.88,2900014,0.0338,0.025,0.0224,4.357,1.433,2.685919
Beijing,2021,0,0,0.0084,0.0075,0.26,14.93,3058959,0.0303,0.009,0.0811,3.763,2.617,3.593974
Beijing,2022,0,0,0.0093,0.0077,0.32,15.04,3387952,0.03,0.02,0.03,3.321,3.348,4.413906
Changshu,2012,0,0,0.0156,0.0122,0.1001,11.21,74151,0.0352,0.026,0.078,3.258,7.078,0.0
Changshu,2013,0,0,0.0142,0.0126,0.1094,11.34,84413,0.0331,0.026,0.0777,3.347,5.874,0.0
Changshu,2014,0,0,0.0162,0.0108,0.1,11.53,101670,0.0303,0.02,0.0743,3.882,1.542,0.0
Changshu,2015,0,0,0.0128,0.0094,0.12,11.59,108504,0.0314,0.014,0.0704,5.376,0.826,0.274699
Changshu,2016,0,0,0.014,0.0088,0.12,11.78,129982,0.033,0.02,0.0685,6.831,0.157,0.097509
Changshu,2017,0,0,0.0114,0.0096,0.13,11.89,145825,0.0372,0.016,0.0695,5.551,0.452,0.455172
Changshu,2018,0,0,0.0099,0.0101,0.13,12.02,166704,0.0438,0.021,0.0675,4.528,1.018,0.410302
Changshu,2019,0,0,0.0096,0.0108,0.13,12.13,184839,0.0463,0.029,0.0595,4.612,1.321,1.164845
Changshu,2020,0,0,0.0094,0.0098,0.16,12.25,208685,0.0466,0.025,0.0224,4.357,1.433,1.180239
Changshu,2021,0,0,0.0081,0.0103,0.21,12.42,246583,0.0433,0.009,0.0811,3.763,2.617,1.896586
Changshu,2022,0,0,0.0071,0.011,0.27,12.57,287881,0.0435,0.02,0.03,3.321,3.348,3.829894
Chengdu,2012,0,0,0.0212,0.0121,0.1521,12.39,240299,0.026,0.026,0.078,3.258,7.078,0.0
Chengdu,2013,0,0,0.0072,0.0119,0.1812,12.47,261277,0.0261,0.026,0.0777,3.347,5.874,0.085969
Chengdu,2014,0,0,0.0119,0.0127,0.25,12.61,300230,0.03,0.02,0.0743,3.882,1.542,0.24497
Chengdu,2015,0,0,0.0235,0.0091,0.23,12.65,312445,0.0376,0.014,0.0704,5.376,0.826,0.047334
Chengdu,2016,0,0,0.0221,0.0076,0.26,12.8,360947,0.0343,0.02,0.0685,6.831,0.157,0.054287
Chengdu,2017,0,0,0.0169,0.0098,0.25,12.98,434539,0.0695,0.016,0.0695,5.551,0.452,0.133854
Chengdu,2018,0,0,0.0154,0.01,0.29,13.11,492285,0.0364,0.021,0.0675,4.528,1.018,0.310785
Chengdu,2019,0,0,0.0143,0.0106,0.32,13.23,558386,0.0363,0.029,0.0595,4.612,1.321,1.006162
Chengdu,2020,0,0,0.0137,0.01,0.36,13.39,652434,0.0401,0.025,0.0224,4.357,1.433,1.038073
Chengdu,2021,0,0,0.0098,0.011,0.43,13.55,768346,0.0395,0.009,0.0811,3.763,2.617,1.385681
Chengdu,2022,0,0,0.0078,0.0119,0.45,13.73,917650,0.0389,0.02,0.03,3.321,3.348,2.32761
Chongqing,2012,0,0,0.0033,0.0136,0.0491,11.96,156148,0.018,0.026,0.078,3.258,7.078,0.015876
Chongqing,2013,0,0,0.0039,0.0128,0.0525,12.24,206787,0.0206,0.026,0.0777,3.347,5.874,0.165081
Chongqing,2014,0,0,0.0069,0.0117,0.0412,12.52,274531,0.0219,0.02,0.0743,3.882,1.542,0.212234
Chongqing,2015,0,0,0.0097,0.0107,0.0542,12.68,319808,0.0237,0.014,0.0704,5.376,0.826,0.21506
Chongqing,2016,0,0,0.0096,0.0101,0.055,12.83,373104,0.028,0.02,0.0685,6.831,0.157,0.208975
Chongqing,2017,0,0,0.0135,0.0095,0.0954,12.95,422763,0.0285,0.016,0.0695,5.551,0.452,0.802366
Chongqing,2018,0,0,0.0136,0.0088,0.1046,13.02,450369,0.0308,0.021,0.0675,4.528,1.018,0.982605
Chongqing,2019,0,0,0.0127,0.0091,0.1298,13.12,501232,0.0356,0.029,0.0595,4.612,1.321,1.942968
Chongqing,2020,0,0,0.0127,0.0086,0.1429,13.24,561641,0.0392,0.025,0.0224,4.357,1.433,2.35083
Chongqing,2021,0,0,0.013,0.0082,0.1521,13.34,618954,0.0356,0.009,0.0811,3.763,2.617,3.759616
Chongqing,2022,0,0,0.0138,0.0078,0.1719,13.44,684713,0.0291,0.02,0.03,3.321,3.348,6.34445
Gongshang,2012,1,0,0.0085,0.0145,0.306,16.68,17542217,0.025,0.026,0.078,3.258,7.078,1.81894
Gongshang,2013,1,0,0.0094,0.0144,0.295,16.76,18917752,0.0243,0.026,0.0777,3.347,5.874,3.101403
Gongshang,2014,1,0,0.0113,0.014,0.29,16.84,20609953,0.0234,0.02,0.0743,3.882,1.542,0.734497
Gongshang,2015,1,0,0.015,0.013,0.28,16.92,22209780,0.0235,0.014,0.0704,5.376,0.826,0.501204
Gongshang,2016,1,0,0.0162,0.012,0.28,17.0,24137265,0.0222,0.02,0.0685,6.831,0.157,0.94452
Gongshang,2017,1,0,0.0155,0.0114,0.31,17.08,26087043,0.0239,0.016,0.0695,5.551,0.452,1.296986
Gongshang,2018,1,0,0.0152,0.0111,0.32,17.14,27699540,0.0268,0.021,0.0675,4.528,1.018,2.146621
Gongshang,2019,1,0,0.0143,0.0108,0.32,17.22,30109436,0.0286,0.029,0.0595,4.612,1.321,1.829632
Gongshang,2020,0,0,0.0158,0.01,0.34,17.32,33345058,0.0285,0.025,0.0224,4.357,1.433,2.815721
Gongshang,2021,0,0,0.0142,0.0102,0.34,17.38,35171383,0.0292,0.009,0.0811,3.763,2.617,3.321712
Gongshang,2022,0,0,0.0138,0.0097,0.35,17.49,39609657,0.029,0.02,0.03,3.321,3.348,6.992345
Guangda,2012,0,1,0.0074,0.0118,0.3059,12.04,168751,0.0253,0.026,0.078,3.258,7.078,0.289134
Guangda,2013,0,1,0.0086,0.0114,0.31,14.7,2415086,0.0207,0.026,0.0777,3.347,5.874,0.210602
Guangda,2014,0,1,0.0119,0.0112,0.31,14.82,2737010,0.0216,0.02,0.0743,3.882,1.542,0.318519
Guangda,2015,0,1,0.0161,0.01,0.29,14.97,3167710,0.0252,0.014,0.0704,5.376,0.826,0.713123
Guangda,2016,0,1,0.016,0.0085,0.27,15.21,4020042,0.0243,0.02,0.0685,6.831,0.157,0.515743
Guangda,2017,0,1,0.0159,0.0078,0.29,15.22,4088243,0.0252,0.016,0.0695,5.551,0.452,0.922096
Guangda,2018,0,1,0.0159,0.008,0.32,15.29,4357332,0.028,0.021,0.0675,4.528,1.018,1.534578
Guangda,2019,0,1,0.0156,0.0082,0.31,15.37,4733431,0.0283,0.029,0.0595,4.612,1.321,1.900606
Guangda,2020,0,1,0.0138,0.0075,0.31,15.5,5368110,0.0253,0.025,0.0224,4.357,1.433,1.984272
Guangda,2021,0,1,0.0125,0.0077,0.33,15.59,5902069,0.0234,0.009,0.0811,3.763,2.617,3.088842
Guangda,2022,0,1,0.0125,0.0074,0.3338,15.66,6300510,0.0235,0.02,0.03,3.321,3.348,5.098155
Guiyang,2012,0,0,0.006,0.0172,0.0721,11.57,105719,0.037,0.026,0.078,3.258,7.078,0.0
Guiyang,2013,0,0,0.0059,0.0158,0.08,11.72,122549,0.0331,0.026,0.0777,3.347,5.874,0.0
Guiyang,2014,0,0,0.0081,0.0176,0.09,11.96,156100,0.0326,0.02,0.0743,3.882,1.542,0.089431
Guiyang,2015,0,0,0.0148,0.0164,0.08,12.38,238197,0.0356,0.014,0.0704,5.376,0.826,0.405118
Guiyang,2016,0,0,0.0142,0.0121,0.09,12.83,372253,0.0333,0.02,0.0685,6.831,0.157,0.285238
Guiyang,2017,0,0,0.0134,0.011,0.11,13.05,464106,0.0361,0.016,0.0695,5.551,0.452,0.249664
Guiyang,2018,0,0,0.0135,0.0108,0.11,13.13,503326,0.036,0.021,0.0675,4.528,1.018,0.318773
Guiyang,2019,0,0,0.0145,0.0113,0.09,13.24,560399,0.0423,0.029,0.0595,4.612,1.321,1.281392
Guiyang,2020,0,0,0.0153,0.0107,0.14,13.29,590680,0.0425,0.025,0.0224,4.357,1.433,0.779756
Guiyang,2021,0,0,0.0145,0.0104,0.13,13.32,608687,0.0394,0.009,0.0811,3.763,2.617,1.018693
Guiyang,2022,0,0,0.0145,0.01,0.1279,13.38,645998,0.0379,0.02,0.03,3.321,3.348,1.987802
Hangzhou,2012,0,0,0.0097,0.0125,0.1053,12.69,324984,0.025,0.026,0.078,3.258,7.078,0.122633
Hangzhou,2013,0,0,0.0119,0.0114,0.1189,12.74,340189,0.0253,0.026,0.0777,3.347,5.874,0.074287
Hangzhou,2014,0,0,0.012,0.0093,0.11,12.94,418541,0.0235,0.02,0.0743,3.882,1.542,0.196127
Hangzhou,2015,0,0,0.0136,0.0077,0.13,13.21,545315,0.0264,0.014,0.0704,5.376,0.826,0.143413
Hangzhou,2016,0,0,0.0162,0.0063,0.13,13.49,720424,0.0303,0.02,0.0685,6.831,0.157,0.372029
Hangzhou,2017,0,0,0.0159,0.0059,0.18,13.63,833339,0.0336,0.016,0.0695,5.551,0.452,0.530269
Hangzhou,2018,0,0,0.0145,0.0062,0.19,13.73,921056,0.0371,0.021,0.0675,4.528,1.018,0.953299
Hangzhou,2019,0,0,0.0134,0.0068,0.19,13.84,1024070,0.0423,0.029,0.0595,4.612,1.321,1.272047
Hangzhou,2020,0,0,0.0107,0.0065,0.18,13.97,1169257,0.0502,0.025,0.0224,4.357,1.433,0.973424
Hangzhou,2021,0,0,0.0086,0.0072,0.19,14.15,1390565,0.0486,0.009,0.0811,3.763,2.617,1.753135
Hangzhou,2022,0,0,0.0077,0.0078,0.21,14.3,1616538,0.0436,0.02,0.03,3.321,3.348,3.608788
Hunong,2012,0,0,0.0126,0.0109,0.1232,12.8,361968,0.0283,0.026,0.078,3.258,7.078,0.053494
Hunong,2013,0,0,0.0128,0.011,0.117,12.95,420892,0.026,0.026,0.0777,3.347,5.874,0.07817
Hunong,2014,0,0,0.0127,0.0111,0.13,13.09,485303,0.0272,0.02,0.0743,3.882,1.542,0.069066
Hunong,2015,0,0,0.0138,0.0108,0.12,13.28,587014,0.0279,0.014,0.0704,5.376,0.826,0.089678
Hunong,2016,0,0,0.0129,0.0092,0.14,13.47,710881,0.0286,0.02,0.0685,6.831,0.157,0.237357
Hunong,2017,0,0,0.013,0.0088,0.15,13.59,802058,0.033,0.016,0.0695,5.551,0.452,0.311514
Hunong,2018,0,0,0.0113,0.0087,0.15,13.63,833713,0.0387,0.021,0.0675,4.528,1.018,0.715936
Hunong,2019,0,0,0.009,0.0101,0.15,13.74,929938,0.039,0.029,0.0595,4.612,1.321,1.039494
Hunong,2020,0,0,0.0099,0.0085,0.15,13.87,1056977,0.0414,0.025,0.0224,4.357,1.433,1.969561
Hunong,2021,0,0,0.0095,0.0091,0.16,13.96,1158376,0.042,0.009,0.0811,3.763,2.617,2.577406
Hunong,2022,0,0,0.0094,0.0093,0.16,14.06,1281399,0.0421,0.02,0.03,3.321,3.348,4.770817
Huaxia,2012,0,1,0.0088,0.0094,0.1545,14.21,1488860,0.0282,0.026,0.078,3.258,7.078,0.046366
Huaxia,2013,0,1,0.009,0.0098,0.15,14.33,1672447,0.0273,0.026,0.0777,3.347,5.874,0.124416
Huaxia,2014,0,1,0.0109,0.0102,0.14,14.43,1851628,0.0254,0.02,0.0743,3.882,1.542,0.142145
Huaxia,2015,0,1,0.0152,0.0098,0.14,14.52,2020604,0.0255,0.014,0.0704,5.376,0.826,0.206491
Huaxia,2016,0,1,0.0167,0.009,0.16,14.67,2356235,0.0265,0.02,0.0685,6.831,0.157,0.289411
Huaxia,2017,0,1,0.0176,0.0082,0.19,14.74,2508927,0.0276,0.016,0.0695,5.551,0.452,0.312168
Huaxia,2018,0,1,0.0185,0.0081,0.21,14.8,2680580,0.0293,0.021,0.0675,4.528,1.018,0.23584
Huaxia,2019,0,1,0.0183,0.0078,0.2,14.92,3020789,0.0259,0.029,0.0595,4.612,1.321,0.523814
Huaxia,2020,0,1,0.018,0.0067,0.23,15.04,3399816,0.0265,0.025,0.0224,4.357,1.433,0.412162
Huaxia,2021,0,1,0.0177,0.0068,0.23,15.12,3676287,0.0267,0.009,0.0811,3.763,2.617,0.421996
Huaxia,2022,0,1,0.0175,0.0067,0.2477,15.18,3900167,0.028,0.02,0.03,3.321,3.348,1.100754
Jianshe,2012,1,0,0.0099,0.0147,0.2775,16.45,13972828,0.0269,0.026,0.078,3.258,7.078,0.111827
Jianshe,2013,1,0,0.0099,0.0147,0.272,16.55,15363210,0.0266,0.026,0.0777,3.347,5.874,0.158073
Jianshe,2014,1,0,0.0119,0.0142,0.27,16.63,16744130,0.0266,0.02,0.0743,3.882,1.542,0.305003
Jianshe,2015,1,0,0.0158,0.013,0.29,16.73,18349489,0.0239,0.014,0.0704,5.376,0.826,0.676874
Jianshe,2016,1,0,0.0152,0.0118,0.3,16.86,20963705,0.0229,0.02,0.0685,6.831,0.157,0.792395
Jianshe,2017,1,0,0.0149,0.0113,0.3,16.91,22124383,0.0255,0.016,0.0695,5.551,0.452,0.993877
Jianshe,2018,1,0,0.0146,0.0113,0.31,16.96,23222693,0.0304,0.021,0.0675,4.528,1.018,1.81894
Jianshe,2019,1,0,0.0142,0.0111,0.33,17.05,25436261,0.0323,0.029,0.0595,4.612,1.321,3.101403
Jianshe,2020,0,0,0.0156,0.0102,0.32,17.15,28132254,0.0333,0.025,0.0224,4.357,1.433,2.317815
Jianshe,2021,0,0,0.0142,0.0104,0.34,17.23,30253979,0.034,0.009,0.0811,3.763,2.617,2.911518
Jianshe,2022,0,0,0.0138,0.01,0.38,17.36,34601917,0.0334,0.02,0.03,3.321,3.348,5.621088
Jiangsu,2012,0,0,0.0101,0.0121,0.0556,13.39,650329,0.0266,0.026,0.078,3.258,7.078,0.02075
Jiangsu,2013,0,0,0.0115,0.0116,0.0499,13.55,763652,0.0258,0.026,0.0777,3.347,5.874,0.141429
Jiangsu,2014,0,0,0.013,0.0097,0.07,13.85,1038309,0.0269,0.02,0.0743,3.882,1.542,0.191389
Jiangsu,2015,0,0,0.0143,0.0082,0.06,14.07,1290333,0.0274,0.014,0.0704,5.376,0.826,0.311756
Jiangsu,2016,0,0,0.0143,0.0074,0.12,14.28,1598292,0.0259,0.02,0.0685,6.831,0.157,0.836396
Jiangsu,2017,0,0,0.0141,0.0071,0.15,14.39,1770551,0.026,0.016,0.0695,5.551,0.452,0.887775
Jiangsu,2018,0,0,0.0139,0.0072,0.2,14.47,1925823,0.0284,0.021,0.0675,4.528,1.018,1.599836
Jiangsu,2019,0,0,0.0138,0.0075,0.23,14.54,2065058,0.0321,0.029,0.0595,4.612,1.321,2.130276
Jiangsu,2020,0,0,0.0132,0.0071,0.33,14.66,2337893,0.0338,0.025,0.0224,4.357,1.433,1.79449
Jiangsu,2021,0,0,0.0108,0.0082,0.37,14.78,2618874,0.0333,0.009,0.0811,3.763,2.617,2.054668
Jiangsu,2022,0,0,0.0094,0.0094,0.38,14.91,2980295,0.0341,0.02,0.03,3.321,3.348,4.883696
Jiangyin,2012,0,0,0.0123,0.0154,0.003,11.2,73410,0.0315,0.026,0.078,3.258,7.078,0.0
Jiangyin,2013,0,0,0.0119,0.0137,0.0022,11.24,76044,0.0282,0.026,0.0777,3.347,5.874,0.056693
Jiangyin,2014,0,0,0.0191,0.0107,0.0017,11.33,83586,0.0329,0.02,0.0743,3.882,1.542,0.039485
Jiangyin,2015,0,0,0.0217,0.0094,0.0113,11.41,90478,0.0368,0.014,0.0704,5.376,0.826,0.148862
Jiangyin,2016,0,0,0.0239,0.0079,0.0104,11.55,104085,0.046,0.02,0.0685,6.831,0.157,0.381971
Jiangyin,2017,0,0,0.0215,0.0071,0.0148,11.6,109403,0.0503,0.016,0.0695,5.551,0.452,0.382023
Jiangyin,2018,0,0,0.0183,0.007,0.0123,11.65,114853,0.0461,0.021,0.0675,4.528,1.018,0.677159
Jiangyin,2019,0,0,0.0179,0.0084,0.0134,11.75,126343,0.0403,0.029,0.0595,4.612,1.321,0.680701
Jiangyin,2020,0,0,0.0132,0.008,0.0176,11.87,142766,0.0437,0.025,0.0224,4.357,1.433,0.721005
Jiangyin,2021,0,0,0.0098,0.0087,0.0335,11.94,153128,0.046,0.009,0.0811,3.763,2.617,1.922239
Jiangyin,2022,0,0,0.0097,0.01,0.0497,12.04,168751,0.0466,0.02,0.03,3.321,3.348,3.534324
Jiaotong,2012,1,0,0.0092,0.0118,0.2753,15.48,5273379,0.023,0.026,0.078,3.258,7.078,0.126411
Jiaotong,2013,1,0,0.0105,0.0111,0.254,15.6,5960937,0.0224,0.026,0.0777,3.347,5.874,0.123719
Jiaotong,2014,1,0,0.0125,0.0108,0.2864,15.65,6268299,0.0224,0.02,0.0743,3.882,1.542,0.206392
Jiaotong,2015,1,0,0.0151,0.01,0.286,15.78,7155362,0.0235,0.014,0.0704,5.376,0.826,0.250503
Jiaotong,2016,1,0,0.0152,0.0087,0.3038,15.94,8403166,0.0229,0.02,0.0685,6.831,0.157,0.436368
Jiaotong,2017,1,0,0.015,0.0081,0.3135,16.02,9038254,0.023,0.016,0.0695,5.551,0.452,0.877276
Jiaotong,2018,1,0,0.0149,0.008,0.3203,16.07,9531171,0.0259,0.021,0.0675,4.528,1.018,0.860388
Jiaotong,2019,1,0,0.0147,0.008,0.3477,16.11,9905600,0.0253,0.029,0.0595,4.612,1.321,2.167558
Jiaotong,2020,0,0,0.0167,0.0077,0.31,16.19,10697616,0.024,0.025,0.0224,4.357,1.433,1.852721
Jiaotong,2021,0,0,0.0148,0.008,0.3179,16.27,11665757,0.0246,0.009,0.0811,3.763,2.617,2.664352
Jiaotong,2022,0,0,0.0135,0.0075,0.3374,16.38,12992419,0.0244,0.02,0.03,3.321,3.348,5.041907
