bank,year,SB,JEB,NPL,ROA,CLR,AS,Total Assets ($M),AFCR,CPI,ED,IR,LMD,IRMT
Suzhou,2012,0,0,0.0087,0.0131,0.0152,11.76,128420,0.0257,0.026,0.078,3.258,7.078,0.075024
Suzhou,2013,0,0,0.0088,0.0111,0.0138,12.01,163960,0.0262,0.026,0.0777,3.347,5.874,0.125773
Suzhou,2014,0,0,0.0137,0.0098,0.0158,12.23,204250,0.0278,0.02,0.0743,3.882,1.542,0.061266
Suzhou,2015,0,0,0.0148,0.0085,0.0353,12.35,230901,0.0303,0.014,0.0704,5.376,0.826,0.036307
Suzhou,2016,0,0,0.0149,0.0081,0.0991,12.47,260418,0.0278,0.02,0.0685,6.831,0.157,0.276419
Suzhou,2017,0,0,0.0143,0.0079,0.095,12.56,284118,0.0289,0.016,0.0695,5.551,0.452,0.16047
Suzhou,2018,0,0,0.0168,0.0078,0.1534,12.65,311086,0.0294,0.021,0.0675,4.528,1.018,0.440165
Suzhou,2019,0,0,0.0153,0.008,0.1009,12.75,343472,0.0342,0.029,0.0595,4.612,1.321,0.71743
Suzhou,2020,0,0,0.0138,0.0075,0.0952,12.87,388068,0.0402,0.025,0.0224,4.357,1.433,0.974351
Suzhou,2021,0,0,0.0111,0.0078,0.1159,13.02,453029,0.047,0.009,0.0811,3.763,2.617,1.831659
Suzhou,2022,0,0,0.0088,0.0084,0.1407,13.17,524549,0.0467,0.02,0.03,3.321,3.348,3.144017
Wuxi,2012,0,0,0.0088,0.0131,0.0029,11.2,72973,0.0258,0.026,0.078,3.258,7.078,0.032323
Wuxi,2013,0,0,0.0102,0.0119,0.011,11.34,83766,0.0259,0.026,0.0777,3.347,5.874,0.02117
Wuxi,2014,0,0,0.0115,0.0098,0.0125,11.56,104463,0.0264,0.02,0.0743,3.882,1.542,0.030083
Wuxi,2015,0,0,0.0117,0.0074,0.0511,11.66,115491,0.0267,0.014,0.0704,5.376,0.826,0.114056
Wuxi,2016,0,0,0.0139,0.0074,0.0446,11.73,124633,0.028,0.02,0.0685,6.831,0.157,0.156924
Wuxi,2017,0,0,0.0138,0.0076,0.0451,11.83,137125,0.0267,0.016,0.0695,5.551,0.452,0.130014
Wuxi,2018,0,0,0.0124,0.0074,0.0631,11.95,154395,0.0291,0.021,0.0675,4.528,1.018,0.207466
Wuxi,2019,0,0,0.0121,0.0079,0.0592,11.99,161912,0.035,0.029,0.0595,4.612,1.321,0.541068
Wuxi,2020,0,0,0.011,0.0077,0.0706,12.1,180018,0.0392,0.025,0.0224,4.357,1.433,0.517636
Wuxi,2021,0,0,0.0093,0.0085,0.0707,12.21,201770,0.0446,0.009,0.0811,3.763,2.617,0.782766
Wuxi,2022,0,0,0.0081,0.0097,0.06,12.26,211603,0.0446,0.02,0.03,3.321,3.348,2.266301
Xian,2012,0,0,0.0076,0.013,0.1221,11.71,122049,0.0266,0.026,0.078,3.258,7.078,0.0
Xian,2013,0,0,0.0065,0.0128,0.1367,11.8,133680,0.0251,0.026,0.0777,3.347,5.874,0.072537
Xian,2014,0,0,0.0079,0.0127,0.1008,11.93,151282,0.025,0.02,0.0743,3.882,1.542,0.121229
Xian,2015,0,0,0.0118,0.011,0.0843,12.25,210024,0.0264,0.014,0.0704,5.376,0.826,0.124557
Xian,2016,0,0,0.0127,0.0094,0.0829,12.29,217968,0.0258,0.02,0.0685,6.831,0.157,0.165296
Xian,2017,0,0,0.0124,0.0093,0.144,12.36,234121,0.0251,0.016,0.0695,5.551,0.452,0.522416
Xian,2018,0,0,0.012,0.0099,0.2034,12.4,243490,0.026,0.021,0.0675,4.528,1.018,0.766903
Xian,2019,0,0,0.0118,0.0103,0.269,12.54,278283,0.0309,0.029,0.0595,4.612,1.321,0.764182
Xian,2020,0,0,0.0118,0.0094,0.2682,12.63,306392,0.0318,0.025,0.0224,4.357,1.433,0.899444
Xian,2021,0,0,0.0132,0.0086,0.18,12.75,345864,0.0295,0.009,0.0811,3.763,2.617,0.967442
Xian,2022,0,0,0.0125,0.0065,0.2017,12.91,405839,0.0253,0.02,0.03,3.321,3.348,1.743899
Xingye,2012,0,1,0.0043,0.0123,0.188,14.99,3250975,0.02,0.026,0.078,3.258,7.078,0.670843
Xingye,2013,0,1,0.0076,0.012,0.1885,15.12,3677435,0.0268,0.026,0.0777,3.347,5.874,0.266469
Xingye,2014,0,1,0.011,0.0118,0.1764,15.3,4406399,0.0276,0.02,0.0743,3.882,1.542,0.559719
Xingye,2015,0,1,0.0146,0.0104,0.1738,15.48,5298880,0.0307,0.014,0.0704,5.376,0.826,0.411548
Xingye,2016,0,1,0.0165,0.0095,0.1978,15.62,6085895,0.0348,0.02,0.0685,6.831,0.157,0.650988
Xingye,2017,0,1,0.0159,0.0092,0.241,15.67,6416842,0.0337,0.016,0.0695,5.551,0.452,0.887997
Xingye,2018,0,1,0.0157,0.0093,0.2481,15.72,6711657,0.0326,0.021,0.0675,4.528,1.018,1.122987
Xingye,2019,0,1,0.0154,0.0096,0.2557,15.78,7145681,0.0307,0.029,0.0595,4.612,1.321,1.737996
Xingye,2020,0,1,0.0125,0.009,0.266,15.88,7894000,0.0274,0.025,0.0224,4.357,1.433,2.411048
Xingye,2021,0,1,0.011,0.0102,0.2694,15.97,8603024,0.0296,0.009,0.0811,3.763,2.617,4.376807
Xingye,2022,0,1,0.0109,0.0103,0.2795,16.04,9266671,0.0259,0.02,0.03,3.321,3.348,8.203789
Youchu,2012,1,0,0.0036,0.0063,0.3973,15.41,4903103,0.0187,0.026,0.078,3.258,7.078,0.113464
Youchu,2013,1,0,0.0051,0.0057,0.3234,15.53,5574451,0.0197,0.026,0.0777,3.347,5.874,0.217316
Youchu,2014,1,0,0.0064,0.0055,0.334,15.66,6298325,0.0233,0.02,0.0743,3.882,1.542,0.359259
Youchu,2015,1,0,0.008,0.0051,0.2663,15.8,7296364,0.024,0.014,0.0704,5.376,0.826,0.626719
Youchu,2016,1,0,0.0087,0.0051,0.2424,15.93,8265622,0.0237,0.02,0.0685,6.831,0.157,1.562259
Youchu,2017,1,0,0.0075,0.0055,0.2635,16.01,9012551,0.0244,0.016,0.0695,5.551,0.452,1.732127
Youchu,2018,1,0,0.0086,0.0057,0.2547,16.07,9516211,0.0299,0.021,0.0675,4.528,1.018,3.44767
Youchu,2019,1,0,0.0086,0.0062,0.2525,16.14,10216706,0.0335,0.029,0.0595,4.612,1.321,3.431029
Youchu,2020,1,0,0.0088,0.006,0.2632,16.25,11353263,0.036,0.025,0.0224,4.357,1.433,4.141754
Youchu,2021,1,0,0.0082,0.0064,0.264,16.35,12587873,0.0343,0.009,0.0811,3.763,2.617,4.649363
Youchu,2022,1,0,0.0084,0.0064,0.2669,16.46,14067282,0.0326,0.02,0.03,3.321,3.348,8.28165
Yunong,2012,0,0,0.0098,0.0138,0.094,12.98,433382,0.0342,0.026,0.078,3.258,7.078,0.092641
Yunong,2013,0,0,0.008,0.0129,0.088,13.13,502006,0.0346,0.026,0.0777,3.347,5.874,0.02117
Yunong,2014,0,0,0.0078,0.0122,0.0801,13.33,618449,0.0358,0.02,0.0743,3.882,1.542,0.017375
Yunong,2015,0,0,0.0098,0.0108,0.0878,13.48,716365,0.0411,0.014,0.0704,5.376,0.826,0.163877
Yunong,2016,0,0,0.0096,0.0105,0.0983,13.6,802718,0.041,0.02,0.0685,6.831,0.157,0.089559
Yunong,2017,0,0,0.0098,0.0105,0.1285,13.72,905338,0.0421,0.016,0.0695,5.551,0.452,0.289647
Yunong,2018,0,0,0.0129,0.0099,0.1315,13.76,950178,0.045,0.021,0.0675,4.528,1.018,0.973511
Yunong,2019,0,0,0.0125,0.0101,0.1205,13.84,1029790,0.0475,0.029,0.0595,4.612,1.321,1.233517
Yunong,2020,0,0,0.0131,0.0079,0.1529,13.94,1135926,0.0412,0.025,0.0224,4.357,1.433,0.892977
Yunong,2021,0,0,0.0125,0.0081,0.1691,14.05,1265851,0.0427,0.009,0.0811,3.763,2.617,1.806569
Yunong,2022,0,0,0.0122,0.008,0.175,14.12,1351861,0.0436,0.02,0.03,3.321,3.348,5.817185
Zhangjiagang,2012,0,0,0.01,0.0142,0.0048,11.18,71528,0.0307,0.026,0.078,3.258,7.078,0.0
Zhangjiagang,2013,0,0,0.0108,0.0143,0.0048,11.19,72570,0.0319,0.026,0.0777,3.347,5.874,0.057308
Zhangjiagang,2014,0,0,0.0151,0.01,0.0034,11.18,71970,0.0318,0.02,0.0743,3.882,1.542,0.011764
Zhangjiagang,2015,0,0,0.0196,0.0088,0.0234,11.32,82354,0.0338,0.014,0.0704,5.376,0.826,0.088977
Zhangjiagang,2016,0,0,0.0196,0.0081,0.0292,11.41,90178,0.0354,0.02,0.0685,6.831,0.157,0.180283
Zhangjiagang,2017,0,0,0.0178,0.0078,0.0325,11.54,103173,0.0329,0.016,0.0695,5.551,0.452,0.146779
Zhangjiagang,2018,0,0,0.0147,0.0076,0.0504,11.64,113446,0.0329,0.021,0.0675,4.528,1.018,0.317174
Zhangjiagang,2019,0,0,0.0138,0.0079,0.0654,11.72,123045,0.0347,0.029,0.0595,4.612,1.321,0.687198
Zhangjiagang,2020,0,0,0.0117,0.0075,0.086,11.88,143818,0.0361,0.025,0.0224,4.357,1.433,0.55061
Zhangjiagang,2021,0,0,0.0095,0.0087,0.1234,12.01,164579,0.0449,0.009,0.0811,3.763,2.617,2.109513
Zhangjiagang,2022,0,0,0.0089,0.0096,0.1709,12.14,187533,0.0463,0.02,0.03,3.321,3.348,2.983721
Changsha,2012,0,0,0.0072,0.0136,0.1298,12.0,162596,0.0266,0.026,0.078,3.258,7.078,0.074249
Changsha,2013,0,0,0.0093,0.0124,0.1249,12.17,193412,0.0268,0.026,0.0777,3.347,5.874,0.11894
Changsha,2014,0,0,0.0128,0.0117,0.1303,12.29,216628,0.027,0.02,0.0743,3.882,1.542,0.212343
Changsha,2015,0,0,0.0122,0.011,0.0889,12.56,285366,0.0285,0.014,0.0704,5.376,0.826,0.159661
Changsha,2016,0,0,0.0119,0.0097,0.1135,12.86,383505,0.0313,0.02,0.0685,6.831,0.157,0.154282
Changsha,2017,0,0,0.0124,0.0093,0.1568,13.06,470544,0.0321,0.016,0.0695,5.551,0.452,0.621347
Changsha,2018,0,0,0.0129,0.0092,0.1947,13.17,526630,0.0356,0.021,0.0675,4.528,1.018,0.483541
Changsha,2019,0,0,0.0122,0.0093,0.2167,13.31,601998,0.0342,0.029,0.0595,4.612,1.321,1.211741
Changsha,2020,0,0,0.0121,0.0085,0.2176,13.46,704235,0.0354,0.025,0.0224,4.357,1.433,1.382292
Changsha,2021,0,0,0.012,0.0088,0.2414,13.59,796150,0.0356,0.009,0.0811,3.763,2.617,1.447136
Changsha,2022,0,0,0.0116,0.0084,0.2514,13.72,904733,0.0361,0.02,0.03,3.321,3.348,3.091597
Zhaoshang,2012,0,1,0.0061,0.0146,0.2067,15.04,3408099,0.0216,0.026,0.078,3.258,7.078,0.319009
Zhaoshang,2013,0,1,0.0083,0.0139,0.2031,15.21,4016399,0.0222,0.026,0.0777,3.347,5.874,0.284323
Zhaoshang,2014,0,1,0.0111,0.0128,0.2168,15.37,4731829,0.0259,0.02,0.0743,3.882,1.542,0.529593
Zhaoshang,2015,0,1,0.0168,0.0114,0.2377,15.52,5474978,0.03,0.014,0.0704,5.376,0.826,0.600784
Zhaoshang,2016,0,1,0.0187,0.0109,0.2607,15.6,5942311,0.0337,0.02,0.0685,6.831,0.157,1.042239
Zhaoshang,2017,0,1,0.0161,0.0115,0.3055,15.66,6297638,0.0422,0.016,0.0695,5.551,0.452,2.113758
Zhaoshang,2018,0,1,0.0136,0.0124,0.3358,15.72,6745729,0.0488,0.021,0.0675,4.528,1.018,1.765215
Zhaoshang,2019,0,1,0.0116,0.0132,0.342,15.82,7417240,0.0497,0.029,0.0595,4.612,1.321,1.706071
Zhaoshang,2020,0,1,0.0107,0.0124,0.3497,15.94,8361448,0.0467,0.025,0.0224,4.357,1.433,1.779943
Zhaoshang,2021,0,1,0.0091,0.0137,0.3549,16.04,9249021,0.0442,0.009,0.0811,3.763,2.617,1.867206
Zhaoshang,2022,0,1,0.0096,0.0144,0.3668,16.13,10138912,0.0432,0.02,0.03,3.321,3.348,4.617397
Zheshang,2012,0,1,0.0046,0.0116,0.0735,12.88,393839,0.0196,0.026,0.078,3.258,7.078,0.058789
Zheshang,2013,0,1,0.0064,0.0111,0.0735,13.1,488117,0.0211,0.026,0.0777,3.347,5.874,0.079504
Zheshang,2014,0,1,0.0088,0.0088,0.0698,13.41,669957,0.0259,0.02,0.0743,3.882,1.542,0.370426
Zheshang,2015,0,1,0.0123,0.0083,0.0702,13.85,1031650,0.0295,0.014,0.0704,5.376,0.826,0.309731
Zheshang,2016,0,1,0.0133,0.0085,0.1178,14.12,1354855,0.0344,0.02,0.0685,6.831,0.157,0.598606
Zheshang,2017,0,1,0.0115,0.0076,0.1207,14.25,1536752,0.0343,0.016,0.0695,5.551,0.452,0.873897
Zheshang,2018,0,1,0.012,0.0073,0.1464,14.31,1646695,0.0325,0.021,0.0675,4.528,1.018,1.676099
Zheshang,2019,0,1,0.0137,0.0076,0.1779,14.4,1800786,0.0303,0.029,0.0595,4.612,1.321,1.655541
Zheshang,2020,0,1,0.0142,0.0065,0.2489,14.53,2048225,0.0272,0.025,0.0224,4.357,1.433,1.611981
Zheshang,2021,0,1,0.0153,0.006,0.2713,14.64,2286723,0.0268,0.009,0.0811,3.763,2.617,2.201317
Zheshang,2022,0,1,0.0147,0.0057,0.2417,14.78,2621930,0.0267,0.02,0.03,3.321,3.348,5.155388
Zhengzhou,2012,0,1,0.0047,0.0166,0.0061,11.55,103734,0.0201,0.026,0.078,3.258,7.078,0.015077
Zhengzhou,2013,0,1,0.0053,0.015,0.0206,11.91,149334,0.0224,0.026,0.0777,3.347,5.874,0.058017
Zhengzhou,2014,0,1,0.0075,0.0139,0.0325,12.23,204289,0.0226,0.02,0.0743,3.882,1.542,0.033928
Zhengzhou,2015,0,1,0.011,0.0143,0.014,12.49,265623,0.0285,0.014,0.0704,5.376,0.826,0.125068
Zhengzhou,2016,0,1,0.0131,0.0128,0.0689,12.81,366148,0.0311,0.02,0.0685,6.831,0.157,0.08851
Zhengzhou,2017,0,1,0.015,0.0108,0.1203,12.99,435829,0.0311,0.016,0.0695,5.551,0.452,0.381466
Zhengzhou,2018,0,1,0.0247,0.0069,0.1302,13.05,466142,0.0382,0.021,0.0675,4.528,1.018,0.389581
Zhengzhou,2019,0,1,0.0237,0.007,0.1347,13.12,500478,0.0379,0.029,0.0595,4.612,1.321,0.706971
Zhengzhou,2020,0,1,0.0208,0.0063,0.1331,13.21,547813,0.0333,0.025,0.0224,4.357,1.433,0.744955
Zhengzhou,2021,0,1,0.0185,0.0061,0.164,13.26,574980,0.029,0.009,0.0811,3.763,2.617,0.986853
Zhengzhou,2022,0,1,0.0188,0.0045,0.1862,13.29,591514,0.0312,0.02,0.03,3.321,3.348,2.504138
Zhongguo,2012,1,0,0.0095,0.0119,0.2944,16.36,12680615,0.0262,0.026,0.078,3.258,7.078,0.187003
Zhongguo,2013,1,0,0.0096,0.0123,0.3116,16.45,13874299,0.0262,0.026,0.0777,3.347,5.874,0.205101
Zhongguo,2014,1,0,0.0118,0.0122,0.3125,16.54,15251382,0.0268,0.02,0.0743,3.882,1.542,0.287676
Zhongguo,2015,1,0,0.0143,0.0112,0.2986,16.64,16815597,0.0262,0.014,0.0704,5.376,0.826,0.450462
Zhongguo,2016,1,0,0.0146,0.0105,0.2922,16.71,18148889,0.0287,0.02,0.0685,6.831,0.157,0.937979
Zhongguo,2017,1,0,0.0145,0.0098,0.3164,16.78,19467424,0.0277,0.016,0.0695,5.551,0.452,1.644129
Zhongguo,2018,1,0,0.0142,0.0094,0.3077,16.87,21267275,0.0307,0.021,0.0675,4.528,1.018,2.559381
Zhongguo,2019,1,0,0.0137,0.0092,0.3185,16.94,22769744,0.0297,0.029,0.0595,4.612,1.321,2.34173
Zhongguo,2020,1,0,0.0146,0.0087,0.3196,17.01,24402659,0.0296,0.025,0.0224,4.357,1.433,2.883326
Zhongguo,2021,1,0,0.0133,0.0089,0.3195,17.1,26722408,0.0283,0.009,0.0811,3.763,2.617,3.424163
Zhongguo,2022,1,0,0.0132,0.0085,0.341,17.18,28913857,0.025,0.02,0.03,3.321,3.348,6.738541
Zhongxin,2012,0,1,0.0074,0.011,0.1983,14.9,2959939,0.0212,0.026,0.078,3.258,7.078,0.402424
Zhongxin,2013,0,1,0.0103,0.012,0.206,15.11,3641193,0.0213,0.026,0.0777,3.347,5.874,0.678196
Zhongxin,2014,0,1,0.013,0.0107,0.1796,15.24,4138815,0.0236,0.02,0.0743,3.882,1.542,0.451082
Zhongxin,2015,0,1,0.0143,0.009,0.1949,15.45,5122292,0.0239,0.014,0.0704,5.376,0.826,0.334093
Zhongxin,2016,0,1,0.0169,0.0076,0.1905,15.6,5931050,0.0262,0.02,0.0685,6.831,0.157,0.670955
Zhongxin,2017,0,1,0.0168,0.0074,0.2215,15.55,5677691,0.0284,0.016,0.0695,5.551,0.452,0.857
Zhongxin,2018,0,1,0.0177,0.0077,0.2234,15.62,6066714,0.028,0.021,0.0675,4.528,1.018,1.22526
Zhongxin,2019,0,1,0.0165,0.0076,0.2441,15.73,6750433,0.029,0.029,0.0595,4.612,1.321,1.922141
Zhongxin,2020,0,1,0.0164,0.0069,0.2501,15.83,7511161,0.0282,0.025,0.0224,4.357,1.433,2.308138
Zhongxin,2021,0,1,0.0139,0.0072,0.2661,15.9,8042884,0.025,0.009,0.0811,3.763,2.617,2.765535
Zhongxin,2022,0,1,0.0127,0.0076,0.2687,15.96,8547543,0.0255,0.02,0.03,3.321,3.348,6.47986
Zijin,2012,0,1,0.0275,0.0087,0.0116,10.84,51066,0.0556,0.026,0.078,3.258,7.078,0.0
Zijin,2013,0,1,0.029,0.0103,0.0276,11.01,60524,0.054,0.026,0.0777,3.347,5.874,0.0
Zijin,2014,0,1,0.0271,0.0114,0.0315,11.17,70807,0.0487,0.02,0.0743,3.882,1.542,0.064474
Zijin,2015,0,1,0.0229,0.0097,0.0864,11.53,101791,0.0447,0.014,0.0704,5.376,0.826,0.056278
Zijin,2016,0,1,0.0198,0.0088,0.0573,11.8,133803,0.0479,0.02,0.0685,6.831,0.157,0.05833
Zijin,2017,0,1,0.0184,0.0075,0.1127,12.05,170949,0.0452,0.016,0.0695,5.551,0.452,0.148401
Zijin,2018,0,1,0.0169,0.0069,0.1234,12.17,193165,0.0388,0.021,0.0675,4.528,1.018,0.223918
Zijin,2019,0,1,0.0168,0.0072,0.104,12.21,201319,0.0399,0.029,0.0595,4.612,1.321,0.460878
Zijin,2020,0,1,0.0168,0.0069,0.1121,12.29,217664,0.037,0.025,0.0224,4.357,1.433,0.402785
Zijin,2021,0,1,0.0145,0.0071,0.18,12.24,206666,0.0336,0.009,0.0811,3.763,2.617,0.724859
Zijin,2022,0,1,0.012,0.0074,0.229,12.32,224722,0.0297,0.02,0.03,3.321,3.348,1.637965
